C114189,Fuses,Fuses with Leads (Through Hole),0263003.WRT1L,FUSE-TH_BD2.7-L7.3-P11.30-D0.6,2,Littelfuse,Extended,Axial Fuses with Leads (Through Hole) RoHS,https://datasheet.lcsc.com/szlcsc/1912111437_Littelfuse-0263003-WRT1L_C114189.pdf,1-9:0.585826772,10-29:0.500787402,30-99:0.439370079,100-499:0.388976378,500-999:0.381102362,1000-1999:0.376377953,2000-3999:0.373228346,4000-:0.370078740,1693,
C122964,Fuses,Surface Mount Fuses,0467002.NR,F0603,2,Littelfuse,Extended,SMD Fuse Fast Blow 2A 28m次 78.22mV 35A 0.1891 0603 Surface Mount Fuses RoHS,https://datasheet.lcsc.com/lcsc/1811130222_Littelfuse-0467002-NR_C122964.pdf,10-90:0.091181102,100-290:0.080944882,300-990:0.073543307,1000-4990:0.067401575,5000-9990:0.066456693,10000-19990:0.065984252,20000-39990:0.065511811,40000-:0.065196850,0,
C122965,Fuses,Surface Mount Fuses,0494002.NR,F0603,2,Littelfuse,Extended,SMD Fuse Fast Blow 2A 32m次 78.22mV 35A 0.1103 0603 Surface Mount Fuses RoHS,https://datasheet.lcsc.com/lcsc/1811130222_Littelfuse-0494002-NR_C122965.pdf,10-90:0.089448819,100-290:0.078897638,300-990:0.071181102,1000-4990:0.064724409,5000-9990:0.063622047,10000-19990:0.063149606,20000-39990:0.062834646,40000-:0.062519685,2081,
C125474,Fuses,PTC Resettable Fuses,B59965C0120A070,RES-TH,2,TDK,Extended,Through Hole,P=5mm PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1810170811_TDK-B59965C0120A070_C125474.pdf,1-9:0.735433071,10-29:0.609448819,30-99:0.518110236,100-499:0.442519685,500-999:0.429921260,1000-:0.423622047,0,
C145942,Fuses,PTC Resettable Fuses,SCF200-2920-R,SMD2920,2,SOCAY Elec,Extended,16V 4A SMD2920 PTC Resettable Fuses RoHS,https://datasheet.lcsc.com/lcsc/1810191312_SOCAY-Elec-SCF200-2920-R_C145942.pdf,10-29:0.152755906,100-499:0.111181102,1000-1999:0.106299213,4000-:0.104409449,1-9:0.184251969,30-99:0.129921260,2000-3999:0.105196850,500-999:0.107874016,0,
C179796,Fuses,PTC Resettable Fuses,SCF150-24-1812R,1812,2,SOCAY Elec,Extended,PTC Resettable Fuses 1812 RoHS,https://datasheet.lcsc.com/szlcsc/SOCAY-Elec-SCF150-24-1812R_C179796.pdf,80-95:0.070866142,50-65:0.070866142,100-140:0.070866142,145-145:0.070866142,500-:0.039685039,5-45:0.092125984,70-75:0.070866142,150-495:0.044566929,0,
C189641,Fuses,Surface Mount Fuses,0438.250WR,F0603,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1912112237_Littelfuse-0438-250WR_C189641.pdf,5-45:0.112440945,50-145:0.096850394,150-495:0.085669291,500-2495:0.076220472,2500-4995:0.074645669,5000-9995:0.073858268,10000-19995:0.073385827,20000-:0.072913386,0,
C192524,Fuses,PTC Resettable Fuses,2920L125PR,F2920,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1912112237_Littelfuse-2920L125PR_C192524.pdf,1-9:0.546456693,10-29:0.475590551,30-99:0.425196850,100-499:0.382677165,500-999:0.374803150,1000-1999:0.371653543,2000-3999:0.368503937,4000-:0.366929134,10,
C193337,Fuses,Cartridge Fuses,0216.050MXEP,Axial,5X20mm,2,Littelfuse,Extended,Ceramic Tube Fuse Fast Blow 50mA 250V Axial,5x20mm Cartridge Fuses RoHS,https://datasheet.lcsc.com/szlcsc/1810151522_Littelfuse-0216-050MXEP_C193337.pdf,1-9:0.770078740,10-29:0.648818898,30-99:0.560629921,100-499:0.488188976,500-999:0.475590551,1000-1999:0.469291339,2000-3999:0.464566929,4000-:0.461417323,69,
C207184,Fuses,PTC Resettable Fuses,RF1184-000,F1812,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1806160020_Littelfuse-RF1184-000_C207184.pdf,500-999:0.201889764,4000-:0.196220472,10-29:0.229921260,100-499:0.206929134,1000-1999:0.199370079,1-9:0.292598425,30-99:0.218425197,2000-3999:0.197480315,0,
C20795,Fuses,PTC Resettable Fuses,SMD0805P125TF,0805,2,RUILON(Shenzhen Ruilongyuan Elec),Extended,6V 2.5A 0805 PTC Resettable Fuses RoHS,https://datasheet.lcsc.com/lcsc/1809211115_RUILON-Shenzhen-Ruilongyuan-Elec-SMD0805P125TF_C20795.pdf,50-145:0.109921260,500-2495:0.080000000,5000-9995:0.076535433,5-45:0.132598425,150-495:0.093543307,10000-19995:0.075748031,2500-4995:0.077637795,20000-:0.075118110,0,
C209741,Fuses,PTC Resettable Fuses,SMD1206P050TF/24,1206,2,PTTC(Polytronics Tech),Extended,24V 1A 1206 PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1809211025_PTTC-Polytronics-Tech-SMD1206P050TF-24_C209741.pdf,1-9:0.220472441,10-29:0.176377953,30-99:0.168314961,100-499:0.160204724,500-999:0.156692913,1000-1999:0.154803150,2000-3999:0.153543307,4000-:0.152598425,0,
C268780,Fuses,PTC Resettable Fuses,BK30-700,FUSE-TH_L17.5-W3.1-P10.50-D0.8-S2.00,2,Brightking Elec (TAIWAN),Extended,30V 30m次 14A - Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Brightking-Elec--TAIWAN-BK30-700_C268780.pdf,1-9:0.295275591,10-29:0.224251969,30-99:0.211338583,100-499:0.198267717,500-999:0.192440945,1000-1999:0.189606299,2000-3999:0.187559055,4000-:0.186141732,0,
C268803,Fuses,PTC Resettable Fuses,BK60-200DZ,FUSE-TH_L17.4-W3.1-P5.10-D1.2-S3.1,2,Brightking Elec (TAIWAN),Extended,60V 4A 14.5s 190m次 Through Hole PTC Resettable Fuses RoHS,https://datasheet.lcsc.com/szlcsc/1912111437_Brightking-Elec-TAIWAN-BK60-200DZ_C268803.pdf,1-9:0.311811024,10-29:0.249448819,30-99:0.238110236,100-499:0.226614173,500-999:0.221574803,1000-1999:0.219055118,2000-3999:0.217165354,4000-:0.215905512,0,
C311985,Fuses,Surface Mount Fuses,SCF500mA,FUSE-SMD,2,TLC Electronic,Extended,0.0824 900mV 50A/100A 500mA SMD Ceramic Fuse - Fast Blow SMD Surface Mount Fuses ROHS,https://datasheet.lcsc.com/lcsc/1912111437_TLC-Electronic-SCF500mA_C311985.pdf,5000-9990:0.043149606,40000-:0.041732283,100-290:0.061102362,1000-4990:0.044409449,10000-19990:0.042519685,10-90:0.073700787,300-990:0.051968504,20000-39990:0.042047244,0,
C3127,Fuses,Cartridge Fuses,5F.6300220000R1,FUSE-SMD,2,Xucheng Elec,Extended,250V 6.3A Glass Tube Fuse Fast Blow Tube,5.2x20mm Cartridge Fuses ROHS,https://datasheet.lcsc.com/lcsc/1807300914_Xucheng-Elec-5F.6300220000R1_C3127.pdf,10-90:0.062992126,100-290:0.052440945,300-990:0.044724409,1000-4990:0.038425197,5000-9990:0.037322835,10000-19990:0.036850394,20000-39990:0.036377953,40000-:0.036220472,0,
C506875,Fuses,PTC Resettable Fuses,TLC-0805PL400,FUSE-SMD,2,TLC Electronic,Extended,Polymeric 6V 26m次 9A 2s 0805 PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/2004021136_TLC-Electronic-TLC-0805PL400_C506875.pdf,50-145:0.106929134,500-2495:0.077795276,5000-9995:0.074488189,2500-4995:0.075590551,5-45:0.128976378,150-495:0.091023622,10000-19995:0.073543307,20000-:0.073070866,0,
C522974,Fuses,PTC Resettable Fuses,BK30-400-SZ,FUSE-TH_L14.5-W3.1-P5.10-D0.8-S2.30,2,Brightking Elec (TAIWAN),Extended,Polymeric 30V 60m次 8A 12.7s Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/2006081827_Brightking-Elec--TAIWAN-BK30-400-SZ_C522974.pdf,1-9:0.195748031,10-29:0.148661417,30-99:0.140157480,100-499:0.131496063,500-999:0.127559055,1000-1999:0.125669291,2000-3999:0.124251969,4000-:0.123464567,0,
C55996,Fuses,PTC Resettable Fuses,SMD1812P300TF/16V,1812,2,RUILON(Shenzhen Ruilongyuan Elec),Extended,16V 5A 1812 PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1811061528_RUILON-Shenzhen-Ruilongyuan-Elec-SMD1812P300TF-16V_C55996.pdf,50-145:0.101102362,20000-:0.063307087,2500-4995:0.065984252,10000-19995:0.063937008,5-45:0.125669291,150-495:0.083307087,500-2495:0.068503937,5000-9995:0.064724409,3212,
C723303,Fuses,Fuses with Leads (Through Hole),932-3.15A/250V,FUSE-TH,2,Better,Extended,Through Hole Fuses with Leads (Through Hole) RoHS,https://datasheet.lcsc.com/lcsc/2008251706_Better-932-3-15A-250V_C723303.pdf,5000-9990:0.030393701,10-90:0.046929134,300-990:0.033385827,10000-19990:0.029921260,20000-39990:0.029606299,100-290:0.035433071,1000-4990:0.031338583,40000-:0.029291339,0,
C89659,Fuses,PTC Resettable Fuses,MF-R005-0,FUSE-TH_L8.0-W3.0-P5.08-D0.8,2,BOURNS,Extended,60V 100mA Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1809301623_BOURNS-MF-R005-0_C89659.pdf,5-45:0.136220472,150-495:0.096850394,10000-19995:0.078897638,20000-:0.078267717,2500-4995:0.080787402,50-145:0.113385827,500-2495:0.083149606,5000-9995:0.079685039,0,
C95352,Fuses,Surface Mount Fuses,0443001.DR,FUSE-SMD,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1912112237_Littelfuse-0443001-DR_C95352.pdf,1-9:1.108661417,10-29:0.924409449,30-99:0.790551181,100-499:0.680314961,500-999:0.661417323,1000-1999:0.651968504,2000-3999:0.645669291,4000-:0.640944882,1,
C99546,Fuses,Surface Mount Fuses,0438003.WR,FUSE-SMD,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1806111027_Littelfuse-0438003-WR_C99546.pdf,10-90:0.082047244,100-290:0.072125984,300-990:0.065039370,1000-4990:0.059212598,5000-9990:0.058267717,10000-19990:0.057637795,20000-39990:0.057322835,40000-:0.057007874,0,
C99557,Fuses,Surface Mount Fuses,0467003.NR,FUSE-SMD,2,Littelfuse,Extended,0.2403 75.04mV 35A 3A Chip Fuse 17m次 Fast Blow 0603 Surface Mount Fuses ROHS,https://datasheet.lcsc.com/lcsc/1806131622_Littelfuse-0467003.NR_C99557.pdf,5-45:0.095433071,50-145:0.082204724,150-495:0.072598425,500-2495:0.064724409,2500-4995:0.063464567,5000-9995:0.062677165,10000-19995:0.062204724,20000-:0.061889764,0,